,county,date_local,time_local,sample_measurement,units_of_measure,detection_limit,uncertainty,method
116,San Francisco,2022-01-05,20:00,7.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
117,San Francisco,2022-01-05,21:00,6.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
118,San Francisco,2022-01-05,22:00,5.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
119,San Francisco,2022-01-05,23:00,2.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
120,San Francisco,2022-01-06,00:00,2.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
121,San Francisco,2022-01-06,01:00,0.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
122,San Francisco,2022-01-06,02:00,-1.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
123,San Francisco,2022-01-06,03:00,0.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
124,San Francisco,2022-01-06,04:00,0.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
125,San Francisco,2022-01-06,05:00,9.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
126,San Francisco,2022-01-06,06:00,9.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
127,San Francisco,2022-01-06,07:00,7.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
128,San Francisco,2022-01-06,08:00,10.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
129,San Francisco,2022-01-06,09:00,6.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
130,San Francisco,2022-01-06,10:00,,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
131,San Francisco,2022-01-06,11:00,4.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
132,San Francisco,2022-01-06,12:00,8.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
133,San Francisco,2022-01-06,13:00,7.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
134,San Francisco,2022-01-06,14:00,10.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
135,San Francisco,2022-01-06,15:00,5.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
136,San Francisco,2022-01-06,16:00,3.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
137,San Francisco,2022-01-06,17:00,4.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
138,San Francisco,2022-01-06,18:00,3.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
139,San Francisco,2022-01-06,19:00,1.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
140,San Francisco,2022-01-06,20:00,0.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
141,San Francisco,2022-01-06,21:00,1.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
142,San Francisco,2022-01-06,22:00,-1.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
143,San Francisco,2022-01-06,23:00,-2.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
144,San Francisco,2022-01-07,00:00,-2.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
145,San Francisco,2022-01-07,01:00,-2.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
146,San Francisco,2022-01-07,02:00,-4.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
147,San Francisco,2022-01-07,03:00,-1.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
148,San Francisco,2022-01-07,04:00,0.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
149,San Francisco,2022-01-07,05:00,1.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
150,San Francisco,2022-01-07,06:00,1.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
151,San Francisco,2022-01-07,07:00,3.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
152,San Francisco,2022-01-07,08:00,4.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
153,San Francisco,2022-01-07,09:00,2.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
154,San Francisco,2022-01-07,10:00,0.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
155,San Francisco,2022-01-07,11:00,0.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
156,San Francisco,2022-01-07,12:00,-1.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
157,San Francisco,2022-01-07,13:00,-2.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
158,San Francisco,2022-01-07,14:00,0.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
159,San Francisco,2022-01-07,15:00,2.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
160,San Francisco,2022-01-07,16:00,2.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
161,San Francisco,2022-01-07,17:00,0.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
162,San Francisco,2022-01-07,18:00,1.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
163,San Francisco,2022-01-07,19:00,2.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
164,San Francisco,2022-01-07,20:00,1.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
165,San Francisco,2022-01-07,21:00,0.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
166,San Francisco,2022-01-07,22:00,-1.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
167,San Francisco,2022-01-07,23:00,1.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
168,San Francisco,2022-01-08,00:00,5.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
169,San Francisco,2022-01-08,01:00,4.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
170,San Francisco,2022-01-08,02:00,5.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
171,San Francisco,2022-01-08,03:00,8.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
172,San Francisco,2022-01-08,04:00,7.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
173,San Francisco,2022-01-08,05:00,4.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
174,San Francisco,2022-01-08,06:00,2.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
175,San Francisco,2022-01-08,07:00,-2.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
176,San Francisco,2022-01-08,08:00,-1.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
177,San Francisco,2022-01-08,09:00,0.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
178,San Francisco,2022-01-08,10:00,0.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
179,San Francisco,2022-01-08,11:00,1.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
180,San Francisco,2022-01-08,12:00,4.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
